Category,item,sodium(mg),carbohydrates(g),protein(g),iron(mg),calcium(mg)
breakfast,poori,2.2,7.5,1.3,0.5,5.2
breakfast,black channa,64,57.8,22.4,4.31,57
breakfast,idly,1.1,7.2,1,0.2,4
breakfast,vada,8.4,12.5,5,0.8,32.3
breakfast,sambhar,10.7,18.4,5.2,0.9,37.3
breakfast,bread,58.9,6,1.1,0.4,31.2
breakfast,tomato onion gravy,13.4,4.8,1.1,0.7,50.1
breakfast,paneer paratha,6.1,30,10.3,1.4,234.3
breakfast,curd,364,3.4,11,0,83
breakfast,millet pongal,118.13,68.51,14,0.5,0.54
breakfast,vada,6,12.5,5,0.6,6.96
breakfast,sambar,25,26,7.1,4.17,47.12
breakfast,thepla,4.1,13,2.3,0.9,13.4
breakfast,rava upma,23.2,45,8,2,26.2
breakfast,masala dosai,190,50,38.9,3.2,77.5
breakfast,coconut chutney,2.1,1,0.4,0.1,1.1
breakfast,aloo paratha,7.5,22.7,5,1.4,17.3
breakfast,andra bonda,8.4,23.3,4.2,0.7,70.9
breakfast,pav bhaji,114.6,58.6,9.5,2,60.9
breakfast,rava idly,186.4,6.3,0.9,0.1,1.8
breakfast,onion dosa,3.2,22.3,2.4,0.4,6.6
breakfast,poha,8.8,42.5,3.4,8.3,23.8
breakfast,veg khichdi,17.5,39.8,8.9,8.9,44.2
lunch,aloo peas,12.6,17.7,3.7,1.1,41.6
lunch,tomato rice,9.5,31.4,4.1,1.1,48.3
lunch,white rice,3.5,39.1,3.4,0.3,5
lunch,carrot and beans mixed poriyal,18.2,9.1,1.9,0.9,59.8
lunch,rasam,10.5,17.5,5.2,0.9,29.5
lunch,phulka,197,11.8,2,0.8,7.9
lunch,andra dal,14.1,19.2,7.2,1.7,56.2
lunch,soya masala,10.8,17.6,7.9,2.2,89.5
lunch,veg pulao,10.1,37.3,4,0.7,21.3
lunch,onion raitha,10.6,4.4,2.4,0.2,114.1
lunch,bindi fry,2.9,3.8,0.8,0.2,28.8
lunch,rajma curry,11.1,19,6.4,1.8,106.9
lunch,ghee rice,0.6,35.3,3.1,0.4,11.3
lunch,raddish sambhar,24.4,18.1,5.6,1.1,52.6
lunch,keeral poriyal,235.9,11.5,5,4,421.7
lunch,paneer tikka masala,26.6,14.1,9.9,1.1,320.3
lunch,bisbella bhat,15.3,57.6,10,1.8,54.2
lunch,malai kofta,124.4,28.7,7.7,2.8,240
lunch,kaahmiri pulav,4.6,45.8,5.6,1,28.5
lunch,brinjal sambhar,15.5,25.9,8.4,1.3,44.1
lunch,dal tadka,4,28.9,12,3.3,39.8
lunch,schezwan rice,689.2,37.4,3.8,0.8,32.1
lunch,dry manchurian,314.7,30.9,5.4,2.7,84.1
lunch,bhatura,3.1,13.6,2.1,0.5,14.3
lunch,tamarind rice,3.8,31.1,3.3,0.4,8.4
lunch,aloo gobi dry,39.9,23.7,3,1.1,27.8
lunch,kadhi pakkoda curry,38.7,24.2,10.1,2,161.3
dinner,gobi masala,76.4,12,5.7,2.1,51.8
dinner,jeera dal,3,32,11,2.8,36.7
dinner,french fries,22,45.2,3.2,1,20
dinner,cabbage porial,15.2,4.4,1.7,0.7,33.5
dinner,kadai paneer,4.5,8.2,7.9,0.3,281.5
dinner,lemon rice,2.1,23.3,2.5,0.6,14.3
dinner,aloo varuval fry,7.9,14,1,0.3,9.8
dinner,beans poriyal,6.4,6.7,2.3,0.8,47.5
dinner,white channa masala,7.96,12.68,4.65,1.78,38.29
dinner,kulcha,17,25.3,3.9,0.9,24.7
dinner,mixed vegetable,5.1,16.2,5,1.1,27.6
dinner,dal makhani,97.9,24,8.4,2.3,108.5
dinner,black channa masala,8.3,13.3,3.56,1.23,39.56
dinner,gobi fry,32.4,24.2,4.5,2,44.8
dinner,salad,4333,32.4,16.4,8.8,250.9
dinner,veg fried dal,8.8,32.6,13.1,3.7,52.7
dinner,mattar paneer,66,23.5,16.5,1.2,512.7
dinner,dum veg biriyani,26.3,60.8,8.9,1.4,155.3
